comparison,run,arm,method,racemode,metric,point_estimate,boot_median,ci_lo,ci_hi,p_raw,p_bh,fdr_sig
point,eval_fair-contrastive-weight,pretraining,contrastive,weight,ece_age_age<med,0.165041,,,,,,
point,eval_fair-contrastive-weight,pretraining,contrastive,weight,ece_age_age>=med,0.105539,,,,,,
point,eval_fair-contrastive-resample,pretraining,contrastive,resample,auc_overall,0.946267,,0.914875,0.972868,,,
point,eval_fair-contrastive-resample,pretraining,contrastive,resample,auc_race_White,0.937678,,,,,,
point,eval_fair-contrastive-resample,pretraining,contrastive,resample,auc_race_Asian,0.936625,,,,,,
point,eval_fair-contrastive-resample,pretraining,contrastive,resample,auc_race_Black,1.000000,,,,,,
point,eval_fair-contrastive-resample,pretraining,contrastive,resample,auc_sex_Male,0.930957,,,,,,
point,eval_fair-contrastive-resample,pretraining,contrastive,resample,auc_sex_Female,0.977887,,,,,,
point,eval_fair-contrastive-resample,pretraining,contrastive,resample,auc_age_age<med,0.940887,,,,,,
point,eval_fair-contrastive-resample,pretraining,contrastive,resample,auc_age_age>=med,0.947227,,,,,,
point,eval_fair-contrastive-resample,pretraining,contrastive,resample,aucdelta_race,0.001053,,0.001174,0.092313,,,
point,eval_fair-contrastive-resample,pretraining,contrastive,resample,aucdelta_sex,0.046930,,0.004135,0.096880,,,
point,eval_fair-contrastive-resample,pretraining,contrastive,resample,aucdelta_age,0.006340,,0.001163,0.075742,,,
point,eval_fair-contrastive-resample,pretraining,contrastive,resample,esauc_race,0.929324,,0.850575,0.958798,,,
point,eval_fair-contrastive-resample,pretraining,contrastive,resample,esauc_sex,0.903849,,0.843015,0.958942,,,
point,eval_fair-contrastive-resample,pretraining,contrastive,resample,esauc_age,0.940306,,0.867968,0.962569,,,
point,eval_fair-contrastive-resample,pretraining,contrastive,resample,ecedelta_race,0.029797,,0.001192,0.077418,,,
point,eval_fair-contrastive-resample,pretraining,contrastive,resample,ecedelta_sex,0.050990,,0.001026,0.095474,,,
point,eval_fair-contrastive-resample,pretraining,contrastive,resample,ecedelta_age,0.026086,,0.001563,0.074044,,,
point,eval_fair-contrastive-resample,pretraining,contrastive,resample,ece_race_White,0.089832,,,,,,
point,eval_fair-contrastive-resample,pretraining,contrastive,resample,ece_race_Asian,0.060036,,,,,,
point,eval_fair-contrastive-resample,pretraining,contrastive,resample,ece_race_Black,0.003875,,,,,,
point,eval_fair-contrastive-resample,pretraining,contrastive,resample,ece_sex_Male,0.043898,,,,,,
point,eval_fair-contrastive-resample,pretraining,contrastive,resample,ece_sex_Female,0.094889,,,,,,
point,eval_fair-contrastive-resample,pretraining,contrastive,resample,ece_age_age<med,0.063712,,,,,,
point,eval_fair-contrastive-resample,pretraining,contrastive,resample,ece_age_age>=med,0.089798,,,,,,
point,eval_fair-pcgrad-none,pretraining,pcgrad,none,auc_overall,0.945607,,0.913646,0.972288,,,
point,eval_fair-pcgrad-none,pretraining,pcgrad,none,auc_race_White,0.961538,,,,,,
point,eval_fair-pcgrad-none,pretraining,pcgrad,none,auc_race_Asian,0.916728,,,,,,
point,eval_fair-pcgrad-none,pretraining,pcgrad,none,auc_race_Black,1.000000,,,,,,
point,eval_fair-pcgrad-none,pretraining,pcgrad,none,auc_sex_Male,0.928330,,,,,,
point,eval_fair-pcgrad-none,pretraining,pcgrad,none,auc_sex_Female,0.974201,,,,,,
point,eval_fair-pcgrad-none,pretraining,pcgrad,none,auc_age_age<med,0.920361,,,,,,
point,eval_fair-pcgrad-none,pretraining,pcgrad,none,auc_age_age>=med,0.958783,,,,,,
point,eval_fair-pcgrad-none,pretraining,pcgrad,none,aucdelta_race,0.044810,,0.002213,0.117410,,,
point,eval_fair-pcgrad-none,pretraining,pcgrad,none,aucdelta_sex,0.045871,,0.003068,0.098672,,,
point,eval_fair-pcgrad-none,pretraining,pcgrad,none,aucdelta_age,0.038421,,0.001710,0.105437,,,
point,eval_fair-pcgrad-none,pretraining,pcgrad,none,esauc_race,0.905051,,0.827166,0.955849,,,
point,eval_fair-pcgrad-none,pretraining,pcgrad,none,esauc_sex,0.904133,,0.840981,0.954255,,,
point,eval_fair-pcgrad-none,pretraining,pcgrad,none,esauc_age,0.910620,,0.841092,0.956411,,,
point,eval_fair-pcgrad-none,pretraining,pcgrad,none,ecedelta_race,0.062836,,0.003981,0.140397,,,
point,eval_fair-pcgrad-none,pretraining,pcgrad,none,ecedelta_sex,0.011289,,0.001112,0.090043,,,
point,eval_fair-pcgrad-none,pretraining,pcgrad,none,ecedelta_age,0.010103,,0.001508,0.100189,,,
point,eval_fair-pcgrad-none,pretraining,pcgrad,none,ece_race_White,0.064151,,,,,,
point,eval_fair-pcgrad-none,pretraining,pcgrad,none,ece_race_Asian,0.126987,,,,,,
point,eval_fair-pcgrad-none,pretraining,pcgrad,none,ece_race_Black,0.005206,,,,,,
point,eval_fair-pcgrad-none,pretraining,pcgrad,none,ece_sex_Male,0.090312,,,,,,
point,eval_fair-pcgrad-none,pretraining,pcgrad,none,ece_sex_Female,0.079022,,,,,,
point,eval_fair-pcgrad-none,pretraining,pcgrad,none,ece_age_age<med,0.091717,,,,,,
point,eval_fair-pcgrad-none,pretraining,pcgrad,none,ece_age_age>=med,0.081614,,,,,,
point,eval_fair-pcgrad-weight,pretraining,pcgrad,weight,auc_overall,0.948718,,0.917802,0.973975,,,
point,eval_fair-pcgrad-weight,pretraining,pcgrad,weight,auc_race_White,0.957265,,,,,,
point,eval_fair-pcgrad-weight,pretraining,pcgrad,weight,auc_race_Asian,0.920413,,,,,,
point,eval_fair-pcgrad-weight,pretraining,pcgrad,weight,auc_race_Black,1.000000,,,,,,
point,eval_fair-pcgrad-weight,pretraining,pcgrad,weight,auc_sex_Male,0.925328,,,,,,
point,eval_fair-pcgrad-weight,pretraining,pcgrad,weight,auc_sex_Female,0.990172,,,,,,
point,eval_fair-pcgrad-weight,pretraining,pcgrad,weight,auc_age_age<med,0.928161,,,,,,
point,eval_fair-pcgrad-weight,pretraining,pcgrad,weight,auc_age_age>=med,0.958398,,,,,,
point,eval_fair-pcgrad-weight,pretraining,pcgrad,weight,aucdelta_race,0.036852,,0.001877,0.112498,,,
point,eval_fair-pcgrad-weight,pretraining,pcgrad,weight,aucdelta_sex,0.064844,,0.021092,0.113511,,,
